Lat,Long,Temp_Max,Temp_Min,Year
11.01565,76.96833,29.27,19.98,2005
11.01565,76.96833,28.98,19.47,2006
11.01565,76.96833,29.11,19.54,2007
11.01565,76.96833,28.97,19.2,2008
11.01565,76.96833,29.78,19.74,2009
11.01565,76.96833,29.39,20.18,2010
11.01565,76.96833,29.2,19.3,2011
11.01565,76.96833,30.51,19.8,2012
11.01565,76.96833,29.87,19.97,2013
11.01565,76.96833,29.6,20.0,2014
11.01565,76.96833,30.15,20.01,2015
11.03567,75.91857,29.39,24.46,1997
11.03567,75.91857,29.32,24.56,1998
11.03567,75.91857,28.9,23.9,1999
11.03567,75.91857,29.17,23.88,2000
11.03567,75.91857,29.05,24.16,2001
11.03567,75.91857,29.54,24.3,2002
11.03567,75.91857,29.75,24.6,2003
11.03567,75.91857,29.24,24.13,2004
11.03567,75.91857,29.26,24.48,2005
11.03567,75.91857,29.15,24.08,2006
11.03567,75.91857,29.12,24.12,2007
11.03567,75.91857,29.01,23.94,2008
11.03567,75.91857,29.35,24.37,2009
11.03567,75.91857,29.08,24.61,2010
11.03567,75.91857,29.1,24.0,2011
11.03567,75.91857,29.51,24.27,2012
11.03567,75.91857,29.37,24.46,2013
11.03567,75.91857,29.45,24.6,2014
11.03567,75.91857,29.58,24.68,2015
11.24243,78.87066,33.56,22.34,1997
11.24243,78.87066,33.54,22.64,1998
11.24243,78.87066,33.19,21.8,1999
11.24243,78.87066,33.3,22.12,2000
11.24243,78.87066,33.48,22.32,2001
11.24243,78.87066,34.32,22.48,2002
11.24243,78.87066,33.84,22.55,2003
11.24243,78.87066,32.73,21.74,2004
11.24243,78.87066,32.93,22.48,2005
11.24243,78.87066,32.96,22.0,2006
11.24243,78.87066,33.29,22.08,2007
11.24243,78.87066,32.38,21.73,2008
11.24243,78.87066,33.97,22.36,2009
11.24243,78.87066,33.19,22.48,2010
11.24243,78.87066,32.95,21.86,2011
11.24243,78.87066,33.7,22.18,2012
11.24243,78.87066,34.04,22.57,2013
11.24243,78.87066,33.9,22.46,2014
11.24243,78.87066,33.21,22.33,2015
11.248,75.7804,29.39,24.46,1997
11.248,75.7804,29.32,24.56,1998
11.248,75.7804,28.9,23.9,1999
11.248,75.7804,29.17,23.88,2000
11.248,75.7804,29.05,24.16,2001
11.248,75.7804,29.54,24.3,2002
11.248,75.7804,29.75,24.6,2003
11.248,75.7804,29.24,24.13,2004
11.248,75.7804,29.26,24.48,2005
11.248,75.7804,29.15,24.08,2006
11.248,75.7804,29.12,24.12,2007
11.248,75.7804,29.01,23.94,2008
11.248,75.7804,29.35,24.37,2009
11.248,75.7804,29.08,24.61,2010
11.248,75.7804,29.1,24.0,2011
11.248,75.7804,29.51,24.27,2012
11.248,75.7804,29.37,24.46,2013
11.248,75.7804,29.45,24.6,2014
11.248,75.7804,29.58,24.68,2015
11.44355,76.68229,29.59,19.89,1997
11.44355,76.68229,29.6,20.14,1998
11.44355,76.68229,29.29,19.33,1999
11.44355,76.68229,29.83,19.47,2000
11.44355,76.68229,29.54,19.81,2001
11.44355,76.68229,30.33,19.83,2002
11.44355,76.68229,30.27,20.09,2003
11.44355,76.68229,29.29,19.5,2004
11.44355,76.68229,29.27,19.98,2005
11.44355,76.68229,28.98,19.47,2006
11.44355,76.68229,29.11,19.54,2007
11.44355,76.68229,28.97,19.2,2008
11.44355,76.68229,29.78,19.74,2009
11.44355,76.68229,29.39,20.18,2010
11.44355,76.68229,29.2,19.3,2011
11.44355,76.68229,30.51,19.8,2012
11.44355,76.68229,29.87,19.97,2013
11.44355,76.68229,29.6,20.0,2014
11.44355,76.68229,30.15,20.01,2015
11.6512,78.1587,32.76,21.31,1997
11.6512,78.1587,32.57,21.53,1998
11.6512,78.1587,32.52,20.61,1999
11.6512,78.1587,32.57,20.97,2000
11.6512,78.1587,32.77,21.22,2001
11.6512,78.1587,33.7,21.32,2002
